Hit,"Position (x, y) in cm",Timestamp (s)
1,"(100.4, 102.93)","(9.971428571428572, 5)"
1,"(102.04, 102.72)","(16.742857142857144, 5)"
1,"(100.09, 100.09)","(21.942857142857143, 5)"
1,"(97.93, 102.97)","(26.914285714285715, 5)"
1,"(101.54, 102.11)","(31.614285714285717, 5)"
1,"(95.55, 102.98)","(37.12857142857143, 5)"
1,"(100.99, 100.33)","(42.07142857142857, 5)"
1,"(99.18, 103.02)","(47.87142857142857, 5)"
1,"(99.41, 103.22)","(57.31428571428571, 5)"
1,"(101.75, 102.51)","(62.8, 5)"
1,"(97.33, 101.0)","(68.22857142857143, 5)"
1,"(99.09, 101.82)","(75.61428571428571, 5)"
1,"(98.54, 103.54)","(81.27142857142857, 5)"
1,"(99.71, 102.35)","(86.15714285714286, 5)"
1,"(100.39, 104.55)","(91.07142857142856, 5)"
1,"(99.54, 103.54)","(95.87142857142857, 5)"
1,"(99.57, 100.65)","(106.0, 5)"
1,"(99.76, 103.43)","(111.38571428571429, 5)"
1,"(100.28, 102.57)","(116.32857142857142, 5)"
1,"(97.31, 100.14)","(121.28571428571428, 5)"
1,"(97.62, 103.76)","(126.18571428571428, 5)"
1,"(97.97, 101.11)","(131.24285714285713, 5)"
1,"(97.82, 103.69)","(135.84285714285713, 5)"
1,"(100.3, 102.92)","(140.34285714285713, 5)"
1,"(101.25, 102.65)","(145.37142857142857, 5)"
1,"(97.59, 103.13)","(150.42857142857142, 5)"
1,"(100.31, 101.46)","(154.94285714285715, 5)"
1,"(100.55, 102.46)","(159.97142857142856, 5)"
1,"(97.24, 102.98)","(164.71428571428572, 5)"
1,"(97.91, 103.24)","(169.31428571428572, 5)"
1,"(96.13, 100.43)","(175.0285714285714, 5)"
1,"(100.41, 100.2)","(179.6142857142857, 5)"
1,"(101.8, 102.93)","(185.65714285714284, 5)"
1,"(101.16, 102.89)","(191.68571428571428, 5)"
1,"(99.09, 103.08)","(196.8, 5)"
1,"(97.62, 102.16)","(205.82857142857145, 5)"
