epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4462.58,2.30854,1.24108,1.01846,0.75754,0.72517,0.67864,0.19674,2.47434,1.17802,1.06978,0.0095941,0.0095941,0.0095941
43,4568.09,2.31717,1.22377,1.02017,0.71136,0.68763,0.62248,0.18914,2.36461,1.20595,1.053,0.0095842,0.0095842,0.0095842
44,4673.66,2.27186,1.20875,1.00253,0.60554,0.65953,0.5809,0.17488,2.45574,1.2429,1.06424,0.0095743,0.0095743,0.0095743
45,4778.83,2.23996,1.19938,1.01399,0.70417,0.6465,0.63421,0.18278,2.41982,1.22509,1.0621,0.0095644,0.0095644,0.0095644
46,4884.26,2.29095,1.22717,1.01385,0.66916,0.67422,0.63908,0.19133,2.3829,1.19311,1.05249,0.0095545,0.0095545,0.0095545
47,4989.79,2.22158,1.21282,0.99598,0.79448,0.77316,0.76036,0.23108,2.3429,1.04794,1.04484,0.0095446,0.0095446,0.0095446
48,5095.07,2.23428,1.17313,0.99821,0.61702,0.60494,0.55077,0.15388,2.56897,1.24651,1.08951,0.0095347,0.0095347,0.0095347
49,5200.4,2.22424,1.1786,1.0032,0.71129,0.70566,0.68508,0.21116,2.40973,1.13537,1.0555,0.0095248,0.0095248,0.0095248
50,5305.89,2.24341,1.21067,1.00653,0.78348,0.74568,0.73303,0.22555,2.36722,1.10845,1.04745,0.0095149,0.0095149,0.0095149
51,5411.23,2.23829,1.15706,1.00387,0.69309,0.69383,0.64566,0.19819,2.39626,1.15465,1.05678,0.009505,0.009505,0.009505
52,5516.81,2.22659,1.16991,1.00212,0.68783,0.65287,0.61767,0.17921,2.44666,1.2358,1.06222,0.0094951,0.0094951,0.0094951
53,5622.32,2.22734,1.16772,1.00125,0.73079,0.72099,0.66583,0.19239,2.51624,1.14868,1.07731,0.0094852,0.0094852,0.0094852
54,5729.31,2.25506,1.20478,0.99901,0.70828,0.68941,0.66669,0.19412,2.37975,1.19145,1.05193,0.0094753,0.0094753,0.0094753
55,5835.2,2.23345,1.18346,0.99902,0.69623,0.6716,0.64322,0.20391,2.43162,1.15345,1.06398,0.0094654,0.0094654,0.0094654
56,5942.19,2.20909,1.13628,0.99629,0.66058,0.69198,0.6464,0.1938,2.44832,1.18291,1.06209,0.0094555,0.0094555,0.0094555
