Hit,"Position (x, y) in cm",Timestamp (s)
1,"(177.04, 99.48)","(1.4285714285714286, 5)"
1,"(49.42, 5.53)","(1.7857142857142856, 5)"
1,"(180.24, 108.57)","(2.742857142857143, 5)"
1,"(179.86, 108.44)","(7.328571428571428, 5)"
1,"(130.04, 96.82)","(7.385714285714285, 5)"
1,"(179.27, 110.06)","(9.585714285714284, 5)"
1,"(177.82, 103.72)","(10.9, 5)"
1,"(183.04, 101.65)","(13.157142857142857, 5)"
1,"(181.7, 104.56)","(14.571428571428571, 5)"
1,"(184.32, 105.71)","(15.8, 5)"
1,"(49.61, 4.85)","(16.17142857142857, 5)"
1,"(79.46, 4.87)","(16.757142857142856, 5)"
1,"(179.44, 109.47)","(19.32857142857143, 5)"
1,"(79.59, 8.04)","(20.27142857142857, 5)"
1,"(129.68, 94.07)","(21.614285714285717, 5)"
1,"(180.47, 102.37)","(22.928571428571427, 5)"
1,"(184.18, 104.79)","(24.37142857142857, 5)"
1,"(180.73, 100.52)","(25.5, 5)"
1,"(180.59, 105.12)","(30.88571428571429, 5)"
1,"(178.17, 105.99)","(32.25714285714285, 5)"
