Hit,"Position (x, y) in cm",Timestamp (s)
1,"(102.25, 24.7)","(4.114285714285714, 5)"
1,"(103.4, 24.43)","(5.471428571428572, 5)"
1,"(99.83, 26.09)","(7.157142857142857, 5)"
1,"(102.35, 26.01)","(8.685714285714285, 5)"
1,"(104.67, 25.42)","(10.371428571428572, 5)"
1,"(80.6, 4.27)","(10.642857142857142, 5)"
1,"(110.57, 4.67)","(11.871428571428572, 5)"
1,"(108.79, 3.93)","(12.528571428571428, 5)"
1,"(104.11, 25.24)","(13.414285714285716, 5)"
1,"(103.93, 25.84)","(15.114285714285714, 5)"
1,"(99.85, 23.7)","(16.957142857142856, 5)"
1,"(65.97, 22.04)","(17.4, 5)"
1,"(98.83, 22.17)","(18.87142857142857, 5)"
1,"(104.2, 20.79)","(20.57142857142857, 5)"
1,"(59.4, 25.0)","(21.0, 5)"
1,"(99.81, 22.96)","(22.357142857142858, 5)"
1,"(52.48, 25.19)","(22.785714285714285, 5)"
1,"(80.17, 4.0)","(23.514285714285712, 5)"
1,"(100.87, 21.97)","(24.357142857142858, 5)"
1,"(109.85, 3.73)","(24.65714285714285, 5)"
1,"(71.55, 25.78)","(24.77142857142857, 5)"
1,"(70.59, 22.11)","(24.82857142857143, 5)"
1,"(101.37, 23.31)","(26.114285714285717, 5)"
1,"(104.14, 17.65)","(28.114285714285717, 5)"
1,"(107.22, 3.85)","(29.38571428571429, 5)"
1,"(100.79, 22.95)","(29.914285714285715, 5)"
