epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.13,3.4112,8.80764,1.35315,0.42837,0.54321,0.41073,0.1251,2.51745,3.28896,1.07362,0.00332071,0.00332071,0.00332071
2,224.452,2.87746,3.19451,1.13369,0.3561,0.23704,0.20953,0.05275,2.89199,2.77646,1.19903,0.00664745,0.00664745,0.00664745
3,333.154,2.90307,2.36706,1.1525,0.37298,0.36543,0.28166,0.07141,2.81299,2.25266,1.18596,0.0099676,0.0099676,0.0099676
4,441.738,2.8574,2.07722,1.14245,0.46167,0.49338,0.44314,0.12195,2.74782,1.62496,1.16617,0.0099703,0.0099703,0.0099703
5,550.347,2.7807,1.85536,1.12854,0.62617,0.54815,0.55243,0.14933,2.61128,1.43544,1.11201,0.0099604,0.0099604,0.0099604
6,658.97,2.64917,1.73191,1.10234,0.58393,0.63457,0.55951,0.15445,2.56333,1.47361,1.10542,0.0099505,0.0099505,0.0099505
7,767.385,2.64642,1.70165,1.12177,0.73765,0.6,0.67362,0.21362,2.43278,1.31577,1.07202,0.0099406,0.0099406,0.0099406
8,875.838,2.65207,1.68838,1.09524,0.44834,0.68395,0.4729,0.13299,2.47011,1.42931,1.07353,0.0099307,0.0099307,0.0099307
9,984.178,2.61067,1.60803,1.08486,0.80201,0.70617,0.75629,0.22949,2.40197,1.31772,1.08272,0.0099208,0.0099208,0.0099208
10,1092.95,2.56474,1.55856,1.0681,0.47052,0.74822,0.51425,0.1492,2.43287,1.32706,1.07973,0.0099109,0.0099109,0.0099109
11,1201.13,2.4989,1.5173,1.06923,0.8434,0.80988,0.80991,0.25294,2.44434,1.11011,1.07537,0.009901,0.009901,0.009901
12,1309.55,2.48957,1.51889,1.06452,0.65299,0.63457,0.59192,0.16844,2.41633,1.31469,1.06121,0.0098911,0.0098911,0.0098911
13,1417.78,2.53254,1.46662,1.06651,0.57839,0.61728,0.54852,0.16093,2.46231,1.35274,1.07791,0.0098812,0.0098812,0.0098812
14,1525.96,2.48301,1.38906,1.05704,0.78626,0.72099,0.74349,0.2241,2.34063,1.19775,1.04931,0.0098713,0.0098713,0.0098713
15,1634.68,2.43389,1.42639,1.04063,0.66109,0.71852,0.66415,0.19125,2.45489,1.24655,1.07543,0.0098614,0.0098614,0.0098614
16,1743,2.46461,1.41152,1.04253,0.87931,0.75556,0.80161,0.2446,2.50897,1.22867,1.0817,0.0098515,0.0098515,0.0098515
17,1851.21,2.44877,1.41964,1.05283,0.8107,0.76136,0.77129,0.22542,2.493,1.12227,1.08361,0.0098416,0.0098416,0.0098416
18,1960.56,2.43243,1.386,1.04847,0.61498,0.62963,0.55949,0.15993,2.42937,1.27772,1.06972,0.0098317,0.0098317,0.0098317
19,2069.71,2.42944,1.3682,1.03848,0.48047,0.61199,0.50487,0.13603,2.70796,1.52612,1.15155,0.0098218,0.0098218,0.0098218
20,2180.69,2.43931,1.37758,1.05807,0.70011,0.68596,0.667,0.19743,2.41458,1.20836,1.06303,0.0098119,0.0098119,0.0098119
21,2290.33,2.42402,1.3784,1.04801,0.60302,0.62716,0.58769,0.17059,2.39373,1.31068,1.05938,0.009802,0.009802,0.009802
22,2399.98,2.37807,1.323,1.02141,0.51145,0.59753,0.48663,0.13425,2.52529,1.37715,1.07435,0.0097921,0.0097921,0.0097921
