epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3321.57,2.24023,1.13324,1.01352,0.75071,0.70667,0.71181,0.2192,2.43328,1.15206,1.04844,0.0095941,0.0095941,0.0095941
43,3399.24,2.29312,1.1902,1.02238,0.71073,0.67333,0.66095,0.23382,2.36612,1.10466,1.02544,0.0095842,0.0095842,0.0095842
44,3476.58,2.29994,1.193,1.02546,0.8412,0.80667,0.78814,0.24145,2.30208,1.08198,1.0136,0.0095743,0.0095743,0.0095743
45,3554.16,2.2778,1.15799,1.01919,0.8312,0.8,0.78241,0.24941,2.32895,1.12312,1.02457,0.0095644,0.0095644,0.0095644
46,3631.55,2.28984,1.18613,1.0165,0.92732,0.89333,0.88761,0.28853,2.25794,1.0139,1.00826,0.0095545,0.0095545,0.0095545
47,3709.71,2.24372,1.15827,1.01543,0.83765,0.80667,0.82151,0.27132,2.29673,1.0826,1.01718,0.0095446,0.0095446,0.0095446
48,3787.3,2.25741,1.16565,1.00863,0.78462,0.75333,0.72798,0.21696,2.40399,1.14789,1.04224,0.0095347,0.0095347,0.0095347
49,3864.89,2.24841,1.16413,1.01339,0.85789,0.83333,0.84421,0.26548,2.30996,1.03707,1.01917,0.0095248,0.0095248,0.0095248
50,3942.48,2.23702,1.12901,1.00161,0.81283,0.78667,0.77384,0.24487,2.32347,1.10265,1.02101,0.0095149,0.0095149,0.0095149
51,4020.11,2.22278,1.11496,1.01173,0.89127,0.86,0.85718,0.27893,2.31291,1.03697,1.02524,0.009505,0.009505,0.009505
52,4097.5,2.25449,1.16959,1.01248,0.87101,0.85333,0.87719,0.27907,2.28112,1.03965,1.01162,0.0094951,0.0094951,0.0094951
53,4175.03,2.24232,1.13497,1.00155,0.80099,0.76667,0.76501,0.24841,2.33133,1.07002,1.02448,0.0094852,0.0094852,0.0094852
54,4252.55,2.25809,1.15253,1.00688,0.87131,0.86,0.85515,0.28307,2.29504,1.03977,1.0195,0.0094753,0.0094753,0.0094753
55,4330.09,2.24459,1.1995,1.0082,0.79414,0.77152,0.77026,0.25012,2.27551,1.11723,1.00797,0.0094654,0.0094654,0.0094654
56,4407.57,2.22197,1.129,1.00609,0.72881,0.69874,0.66946,0.21887,2.37999,1.13592,1.03027,0.0094555,0.0094555,0.0094555
57,4484.95,2.23209,1.14608,1.00371,0.8592,0.82,0.80132,0.2786,2.2614,1.05678,1.00011,0.0094456,0.0094456,0.0094456
58,4562.02,2.2339,1.12229,1.00377,0.80516,0.78667,0.75905,0.24445,2.35736,1.09426,1.03029,0.0094357,0.0094357,0.0094357
59,4639.16,2.21943,1.12119,1.00068,0.71253,0.72,0.63356,0.19619,2.44845,1.16845,1.04961,0.0094258,0.0094258,0.0094258
60,4716.19,2.22403,1.12799,1.00862,0.81002,0.7959,0.77527,0.25433,2.30931,1.10564,1.01536,0.0094159,0.0094159,0.0094159
61,4793.25,2.22685,1.14966,0.9977,0.88181,0.86,0.85081,0.28367,2.23217,1.00188,1.00034,0.009406,0.009406,0.009406
62,4870.49,2.23162,1.12335,1.02019,0.87379,0.83084,0.8236,0.28998,2.2105,1.02367,0.99592,0.0093961,0.0093961,0.0093961
63,4947.42,2.23874,1.13248,1.00732,0.8506,0.81333,0.78694,0.26031,2.29383,1.1165,1.00917,0.0093862,0.0093862,0.0093862
64,5024.47,2.20781,1.12715,0.9901,0.8398,0.80382,0.78204,0.26849,2.2638,1.08765,0.99547,0.0093763,0.0093763,0.0093763
65,5101.12,2.1786,1.12465,0.98526,0.86676,0.82,0.82666,0.27599,2.27145,1.04742,1.00213,0.0093664,0.0093664,0.0093664
66,5178.09,2.26554,1.15146,1.00679,0.86177,0.83125,0.83508,0.28153,2.25667,1.05785,0.99978,0.0093565,0.0093565,0.0093565
67,5255.12,2.21707,1.15196,1.00189,0.86365,0.82667,0.83733,0.28438,2.27327,1.02776,1.00917,0.0093466,0.0093466,0.0093466
