Hit,"Position (x, y) in cm",Timestamp (s)
0,"(None, None)",3.65104
0,"(None, None)",3.69973
0,"(None, None)",3.75062
0,"(None, None)",3.80426
0,"(None, None)",3.86343
0,"(None, None)",3.91780
0,"(None, None)",3.97160
0,"(None, None)",4.03300
0,"(None, None)",4.08922
0,"(None, None)",4.14014
0,"(None, None)",4.19610
0,"(None, None)",4.25989
0,"(None, None)",4.31764
0,"(None, None)",4.37876
0,"(None, None)",4.43881
0,"(None, None)",4.49923
0,"(None, None)",4.55768
0,"(None, None)",4.61755
0,"(None, None)",4.67907
0,"(None, None)",4.72932
0,"(None, None)",4.78387
0,"(None, None)",4.84455
0,"(None, None)",4.90462
0,"(None, None)",4.95565
0,"(None, None)",5.01203
0,"(None, None)",5.06836
0,"(None, None)",5.12834
0,"(None, None)",5.18974
0,"(None, None)",5.24902
0,"(None, None)",5.31757
0,"(None, None)",5.37275
0,"(None, None)",5.43649
0,"(None, None)",5.50077
0,"(None, None)",5.56589
0,"(None, None)",5.63402
0,"(None, None)",5.69476
0,"(None, None)",5.75557
1,"(None, None)",5.81697
1,"(93.28000, 26.62000)",5.88038
1,"(None, None)",5.93720
0,"(None, None)",5.99846
0,"(None, None)",6.06168
0,"(None, None)",6.12390
1,"(None, None)",6.17971
1,"(98.59000, 27.19000)",6.24139
1,"(None, None)",6.29534
0,"(None, None)",6.34886
0,"(None, None)",6.40496
0,"(None, None)",6.46764
0,"(None, None)",6.52107
0,"(None, None)",6.58115
0,"(None, None)",6.63482
0,"(None, None)",6.69553
0,"(None, None)",6.76201
0,"(None, None)",6.81614
0,"(None, None)",6.86775
0,"(None, None)",6.92371
0,"(None, None)",6.98363
0,"(None, None)",7.03667
0,"(None, None)",7.08632
0,"(None, None)",7.14272
0,"(None, None)",7.20622
0,"(None, None)",7.26298
0,"(None, None)",7.32458
0,"(None, None)",7.38010
0,"(None, None)",7.43978
0,"(None, None)",7.49460
0,"(None, None)",7.55276
0,"(None, None)",7.61672
0,"(None, None)",7.67157
0,"(None, None)",7.72596
1,"(None, None)",7.78483
1,"(102.19000, 28.12000)",7.84106
1,"(None, None)",7.89815
0,"(None, None)",7.94619
0,"(None, None)",7.99887
0,"(None, None)",8.05523
0,"(None, None)",8.11443
0,"(None, None)",8.17011
0,"(None, None)",8.22361
0,"(None, None)",8.28622
0,"(None, None)",8.34598
0,"(None, None)",8.40507
0,"(None, None)",8.46983
0,"(None, None)",8.52544
0,"(None, None)",8.58884
0,"(None, None)",8.65164
0,"(None, None)",8.70874
0,"(None, None)",8.76470
0,"(None, None)",8.81357
0,"(None, None)",8.86988
0,"(None, None)",8.92715
0,"(None, None)",8.97749
0,"(None, None)",9.03101
0,"(None, None)",9.09281
0,"(None, None)",9.15089
0,"(None, None)",9.21150
0,"(None, None)",9.26566
0,"(None, None)",9.32606
0,"(None, None)",9.37825
0,"(None, None)",9.43398
0,"(None, None)",9.48991
0,"(None, None)",9.55161
1,"(None, None)",9.60462
1,"(97.66000, 29.44000)",9.66033
1,"(None, None)",9.71924
0,"(None, None)",9.77525
0,"(None, None)",9.83437
0,"(None, None)",9.88464
0,"(None, None)",9.93633
0,"(None, None)",9.98367
0,"(None, None)",10.03410
0,"(None, None)",10.08213
0,"(None, None)",10.13301
0,"(None, None)",10.18517
0,"(None, None)",10.23436
0,"(None, None)",10.28211
0,"(None, None)",10.33253
0,"(None, None)",10.38504
0,"(None, None)",10.43010
0,"(None, None)",10.47521
0,"(None, None)",10.52345
0,"(None, None)",10.57585
0,"(None, None)",10.62665
0,"(None, None)",10.67271
0,"(None, None)",10.72202
0,"(None, None)",10.77236
0,"(None, None)",10.83504
0,"(None, None)",10.89429
0,"(None, None)",10.95648
0,"(None, None)",11.02646
0,"(None, None)",11.08234
0,"(None, None)",11.14285
0,"(None, None)",11.20086
0,"(None, None)",11.26223
0,"(None, None)",11.32041
0,"(None, None)",11.37364
0,"(None, None)",11.43275
0,"(None, None)",11.48231
1,"(None, None)",11.53698
1,"(100.86000, 18.56000)",11.59912
1,"(None, None)",11.66150
0,"(None, None)",11.72923
0,"(None, None)",11.78599
0,"(None, None)",11.85060
0,"(None, None)",11.90457
0,"(None, None)",11.95530
0,"(None, None)",12.00841
0,"(None, None)",12.06549
0,"(None, None)",12.12737
0,"(None, None)",12.18317
0,"(None, None)",12.24646
0,"(None, None)",12.29785
0,"(None, None)",12.35603
0,"(None, None)",12.41297
0,"(None, None)",12.47553
0,"(None, None)",12.53731
0,"(None, None)",12.59986
0,"(None, None)",12.65468
0,"(None, None)",12.71298
0,"(None, None)",12.76562
0,"(None, None)",12.82242
0,"(None, None)",12.88506
0,"(None, None)",12.94419
0,"(None, None)",13.00192
0,"(None, None)",13.06246
0,"(None, None)",13.12177
0,"(None, None)",13.18212
0,"(None, None)",13.23975
1,"(None, None)",13.29695
1,"(98.59000, 27.19000)",13.34823
1,"(None, None)",13.41007
0,"(None, None)",13.46892
0,"(None, None)",13.52607
0,"(None, None)",13.58884
0,"(None, None)",13.64704
0,"(None, None)",13.71418
0,"(None, None)",13.77005
0,"(None, None)",13.83324
0,"(None, None)",13.89430
0,"(None, None)",13.95730
0,"(None, None)",14.01371
0,"(None, None)",14.07297
