frame,timestamp (s),inference (ms),preprocess (ms),postprocess (ms)
0,0.014285714285714285,5.535100000088278,1.5468000001419568,0.4388999996081111
1,0.02857142857142857,4.1635000006863265,0.46410000049945666,0.20260000019334257
2,0.04285714285714286,6.648399999903631,0.3009000001839013,0.1922999999806052
3,0.05714285714285714,4.2528000003585475,0.276099999609869,0.18850000014936086
4,0.07142857142857142,4.543099999864353,0.23710000004939502,0.21850000030099181
5,0.08571428571428572,5.202400000598573,0.2660000000105356,0.21240000023681205
6,0.09999999999999999,5.126600000039616,0.2610000001368462,0.19079999947280157
7,0.11428571428571428,4.6687999993082485,0.31119999948714394,0.18699999964155722
8,0.12857142857142856,4.726699999991979,0.23770000007061753,0.2275000006193295
9,0.14285714285714285,4.036399999677087,0.26559999969322234,0.21250000008876668
10,0.15714285714285714,4.1204999997717096,0.2911000001404318,0.17950000074051786
11,0.17142857142857143,3.920000000107393,0.21209999977145344,0.16849999974510865
12,0.18571428571428572,4.405199999382603,0.20510000013018725,0.19439999960013665
13,0.19999999999999998,7.029100000181643,0.24890000076993601,0.25829999958659755
14,0.21428571428571427,15.713400000095135,0.2686000007088296,0.2164999996239203
15,0.22857142857142856,8.192100000087521,0.35969999953522347,0.2071999997497187
16,0.24285714285714285,10.768499999358028,0.26950000028591603,0.21010000000387663
17,0.2571428571428571,9.232200000042212,0.2843000002030749,0.19809999957942637
18,0.2714285714285714,7.954300000164949,0.28329999986453913,0.19939999947382603
19,0.2857142857142857,9.968299999854935,0.29039999935775995,0.259300000834628
20,0.3,11.201299999811454,0.2621000003273366,0.1990000000660075
21,0.3142857142857143,4.433000000062748,0.2217999999629683,0.18960000033985125
22,0.32857142857142857,3.810899999734829,0.3028999999514781,0.18929999987449264
23,0.34285714285714286,4.160499999670719,0.2911000001404318,0.20930000027874485
24,0.35714285714285715,3.5008999993806356,0.22839999928692123,0.21500000002561137
25,0.37142857142857144,4.390300000522984,0.2641000000949134,0.18050000016955892
26,0.3857142857142857,7.397399999717891,0.2936999999292311,0.23690000034548575
27,0.39999999999999997,4.385600000205159,0.21740000011050142,0.21640000068146037
28,0.41428571428571426,5.409700000200246,0.2916999992521596,0.2088999999614316
29,0.42857142857142855,13.012200000048324,0.3255000001445296,0.2407000001767301
30,0.44285714285714284,14.051500000277883,0.35910000042349566,0.2054999995380058
31,0.45714285714285713,10.21749999927124,0.3478999997241772,0.21709999964514282
32,0.4714285714285714,8.466799999951036,0.2393000004303758,0.23460000011255033
33,0.4857142857142857,3.7987999994584243,0.2967999998872983,0.19379999957891414
34,0.5,3.4503999995649792,0.22160000025905902,0.22090000038588187
35,0.5142857142857142,3.0573000003641937,0.19599999995989492,0.1570999993418809
36,0.5285714285714286,4.3048999996244675,0.216500000533415,0.19530000008671777
37,0.5428571428571428,3.1720000006316695,0.1895000004878966,0.2027000000452972
38,0.5571428571428572,7.296200000382669,0.3322000002299319,0.1899999997476698
39,0.5714285714285714,4.185700000562065,0.24120000034599798,0.1661000005697133
40,0.5857142857142857,4.379400000289024,0.2341999997952371,0.16659999982948648
41,0.6,3.7728999996033963,0.3280000000813743,0.21070000002509914
42,0.6142857142857142,3.8270000004558824,0.2673999997568899,0.16869999944901792
43,0.6285714285714286,3.3368999993399484,0.1990000000660075,0.16830000004119938
44,0.6428571428571428,3.5289000006741844,0.1843999998527579,0.16089999917312525
45,0.6571428571428571,4.21360000018467,0.22640000042883912,0.16789999972388614
46,0.6714285714285714,2.8515000003608293,0.24649999977555126,0.15590000020893058
47,0.6857142857142857,2.848699999958626,0.21670000023732428,0.15410000014526304
48,0.7,3.428600000006554,0.21130000004632166,0.15069999972183723
49,0.7142857142857143,3.0000000006111804,0.21010000000387663,0.15019999955256935
50,0.7285714285714285,3.140699999676144,0.19080000038229628,0.1705999993646401
51,0.7428571428571429,3.347599999869999,0.22900000021763844,0.1695000000836444
52,0.7571428571428571,3.7009999996371334,0.22079999962443253,0.15949999942677096
53,0.7714285714285714,3.668399999696703,0.19809999957942637,0.17329999991488876
54,0.7857142857142857,3.38240000019141,0.2868999999918742,0.19349999911355553
55,0.7999999999999999,3.2949000005828566,0.2316999998583924,0.16630000027362257
56,0.8142857142857143,3.7023999993834877,0.19290000000182772,0.17560000014782418
57,0.8285714285714285,4.830500000025495,0.25039999945875024,0.18820000059349695
58,0.8428571428571429,6.1385999997582985,0.3034999999727006,0.21070000002509914
59,0.8571428571428571,9.659199999987322,0.2730000005612965,0.18959999943035655
60,0.8714285714285714,4.187900000033551,0.23640000017621787,0.15660000008210773
61,0.8857142857142857,3.2468999997945502,0.23849999979574932,0.15859999984968454
62,0.9,2.322499999536376,0.22090000038588187,0.14860000010230578
63,0.9142857142857143,4.3721000001823995,0.2311000007466646,0.1965000001291628
64,0.9285714285714285,10.877800000343996,0.25689999984024325,0.22669999998470303
65,0.9428571428571428,3.779499999836844,0.1951000003828085,0.17380000008415664
66,0.9571428571428571,3.452300000390096,0.2991999999721884,0.1660999996602186
67,0.9714285714285714,3.386999999747786,0.22880000051372917,0.1564999993206584
68,0.9857142857142857,3.470999999990454,0.2525000008972711,0.1756999999997788
69,1.0,3.42240000009042,0.22790000002714805,0.2088999999614316
70,1.0142857142857142,4.334899999776098,0.19739999970624922,0.17240000033780234
71,1.0285714285714285,3.3125999998446787,0.2260999999634805,0.16309999955410603
72,1.042857142857143,2.7651000000332715,0.45109999973647064,0.15499999972234946
73,1.0571428571428572,2.7425999996921746,0.17109999953390798,0.14629999986937037
74,1.0714285714285714,3.8605999998253537,0.20510000013018725,0.14959999953134684
75,1.0857142857142856,3.3307000003333087,0.18809999983204762,0.16290000075969147
76,1.0999999999999999,3.2789000006232527,0.20510000013018725,0.17489999936515233
77,1.1142857142857143,3.039799999896786,0.2905000001192093,0.17860000025393674
78,1.1285714285714286,3.146099999867147,0.22360000002663583,0.17279999974562088
79,1.1428571428571428,3.59539999953995,0.23770000007061753,0.16529999993508682
80,1.157142857142857,3.460599999925762,0.2413000001979526,0.1723000004858477
81,1.1714285714285715,3.4321000002819346,0.2065999997284962,0.1740000006975606
82,1.1857142857142857,3.6773000001630862,0.19559999964258168,0.2153999994334299
83,1.2,4.393700000036915,0.25940000068658264,0.18209999961982248
84,1.2142857142857142,3.034800000023097,0.22619999981543515,0.14449999980570283
85,1.2285714285714284,2.810500000123284,0.2075000002150773,0.141299999995681
86,1.2428571428571429,4.2864999995799735,0.20640000002458692,0.14279999959398992
87,1.2571428571428571,4.752400000143098,0.17389999993611127,0.13699999999516876
88,1.2714285714285714,4.05270000010205,0.20390000008774223,0.13870000020688167
89,1.2857142857142856,4.182800000307907,0.2508000006855582,0.16489999961777357
90,1.3,3.773399999772664,0.21879999985685572,0.1888999995571794
91,1.3142857142857143,3.300899999885587,0.20539999968605116,0.13859999944543233
92,1.3285714285714285,4.067400000167254,0.18959999943035655,0.1578999999765074
93,1.3428571428571427,3.993799999989278,0.2615000003061141,0.18170000021200394
94,1.3571428571428572,4.366399999526038,0.21850000030099181,0.1793000001271139
95,1.3714285714285714,4.384099999697355,0.2537000000302214,0.18490000002202578
96,1.3857142857142857,2.8200000006108894,0.17859999934444204,0.1474999999118154
97,1.4,4.207300000416581,0.25430000005144393,0.15439999970112694
98,1.4142857142857141,3.7440000005517504,0.26029999935417436,0.1837999998315354
99,1.4285714285714286,3.765200000088953,0.24739999935263768,0.17129999923781725
100,1.4428571428571428,3.7529999999605934,0.1982000003408757,0.17750000006344635
101,1.457142857142857,3.8821999996798695,0.23799999962648144,0.17250000018975697
102,1.4714285714285713,3.3910000001924345,0.23920000057842117,0.19499999962135917
103,1.4857142857142858,2.8821000005336828,0.2243999997517676,0.17660000048635993
104,1.5,3.2516999999643303,0.178799999957846,0.13190000026952475
105,1.5142857142857142,3.1829999998080893,0.17499999921710696,0.15189999976428226
106,1.5285714285714285,7.708500000262575,0.4167000006418675,0.17349999961879803
107,1.5428571428571427,3.0587999999625026,0.21909999941271963,0.15079999957379187
108,1.5571428571428572,2.7907000003324356,0.28819999988627387,0.14240000018617138
109,1.5714285714285714,2.6849999994738027,0.20280000080674654,0.13619999936054228
110,1.5857142857142856,2.6164999999309657,0.20330000006651971,0.13450000005832408
111,1.5999999999999999,6.12730000011652,0.2905000001192093,0.18969999928231118
112,1.6142857142857143,10.047799999483686,0.29630000062752515,0.21860000015294645
113,1.6285714285714286,7.041400000161957,0.2566999992268393,0.2310999998371699
114,1.6428571428571428,7.6721000004909,0.3476000001683133,0.20539999968605116
115,1.657142857142857,8.145199999489705,0.4701999996541417,0.23179999971034704
116,1.6714285714285715,9.191399999508576,0.3327999993416597,0.2279999998791027
117,1.6857142857142857,7.945500000460015,0.28389999988576164,0.23099999998521525
118,1.7,9.791800000130024,0.25460000051680254,0.20500000027823262
119,1.7142857142857142,7.887400000072375,0.2542000001994893,0.20499999936873792
120,1.7285714285714284,6.341999999676773,0.3049000006285496,0.19829999928333564
121,1.7428571428571429,5.373399999371031,0.31180000041786116,0.19909999991796212
122,1.7571428571428571,7.409499999994296,0.26679999973566737,0.20490000042627798
123,1.7714285714285714,8.238100000198756,0.3208999996786588,0.20219999987602932
