frame,timestamp (s),inference (ms),preprocess (ms),postprocess (ms)
0,0.014285714285714285,24.77890000000116,332.6268999999229,229.30519999999888
1,0.02857142857142857,3.747199999907025,0.7267999999385211,0.1924000002873072
2,0.04285714285714286,3.2026000003497757,0.24859999984983006,0.16330000016751
3,0.05714285714285714,3.6702999996123253,0.2110000000357104,0.15260000009220676
4,0.07142857142857142,3.490600000077393,0.2424999997856503,0.17820000039137085
5,0.08571428571428572,3.5889999999199063,0.20660000018324354,0.13549999994211248
6,0.09999999999999999,3.6559000000124797,0.19810000003417372,0.15559999974357197
7,0.11428571428571428,3.2682999999451567,0.2061999998659303,0.13989999979457934
8,0.12857142857142856,5.09909999982483,0.22989999979472486,0.16550000009374344
9,0.14285714285714285,8.433500000137428,0.30370000013135723,0.20399999993969686
10,0.15714285714285714,3.2682999999451567,0.21809999998367857,0.16820000018924475
11,0.17142857142857143,3.333300000122108,0.35530000013750396,0.16249999998763087
12,0.18571428571428572,3.790700000081415,0.2632999999150343,0.18529999988459167
13,0.19999999999999998,6.518899999718997,0.3050999998777115,0.27499999987412593
14,0.21428571428571427,10.346199999730743,0.2945999999610649,0.22969999963606824
15,0.22857142857142856,9.242899999662768,0.32759999976406107,0.2758999999059597
16,0.24285714285714285,4.683600000134902,0.29069999982311856,0.2077999997709412
17,0.2571428571428571,5.919899999753397,0.287800000023708,0.2274999997098348
18,0.2714285714285714,5.194899999878544,0.32349999992220546,0.21119999973961967
19,0.2857142857142857,5.790599999727419,0.3517000000101689,0.24059999987002811
20,0.3,4.291700000067067,0.2752999998847372,0.2245000000584696
21,0.3142857142857143,4.441399999905116,0.2803000002131739,0.1999999999497959
22,0.32857142857142857,7.309099999929458,0.36680000039268634,0.2372999997533043
23,0.34285714285714286,12.50609999988228,0.6765999996787286,0.23099999998521525
24,0.35714285714285715,11.320600000090053,0.33009999970090576,0.2727999999478925
25,0.37142857142857144,11.263399999734247,0.36610000006476184,0.2312999999958265
26,0.3857142857142857,10.925500000212196,0.9292999998251616,0.22940000008020434
27,0.39999999999999997,8.573300000080053,0.24910000001909793,0.2260999999634805
28,0.41428571428571426,4.628799999863986,0.2920000001722656,0.22360000002663583
29,0.42857142857142855,6.405900000117981,0.3662999997686711,0.20450000010896474
30,0.44285714285714284,4.625300000043353,0.3249000001233071,0.24540000003980822
31,0.45714285714285713,6.402299999990646,0.2492999997230072,0.22390000003724708
32,0.4714285714285714,5.573800000092888,0.32559999999648426,0.2320999997209583
33,0.4857142857142857,4.1039000002456305,0.2860999998119951,0.21550000019487925
34,0.5,4.2074999996657425,0.2403000003141642,0.1926999998431711
35,0.5142857142857142,10.33289999986664,0.31039999976201216,0.2540999998927873
36,0.5285714285714286,8.41870000022027,0.2793999997265928,0.24699999994481914
37,0.5428571428571428,10.724000000209344,0.2932000002147106,0.22369999987859046
38,0.5571428571428572,5.677000000105181,0.3507000001263805,0.22360000002663583
39,0.5714285714285714,10.02280000011524,0.3566000000319036,0.21430000015243422
40,0.5857142857142857,9.116199999880337,0.2920000001722656,0.24050000001807348
41,0.6,3.8861999996697705,0.24389999998675194,0.18969999973705853
42,0.6142857142857142,4.796900000201276,0.357700000222394,0.2472999999554304
43,0.6285714285714286,5.66099999969083,0.32620000001770677,0.17899999966175528
44,0.6428571428571428,4.0779000000839005,0.25760000016816775,0.18369999997958075
45,0.6571428571428571,3.6832000000686094,0.3413999997974315,0.17870000010589138
46,0.6714285714285714,3.2410999997409817,0.2934000003733672,0.17849999994723476
47,0.6857142857142857,5.31619999992472,0.24459999985992908,0.19429999974818202
48,0.7,8.004600000276696,0.3333999998176296,0.22170000011101365
49,0.7142857142857143,8.327500000177679,0.3022999999302556,0.21630000037475838
50,0.7285714285714285,8.746099999825674,0.292899999749352,0.21289999995133257
51,0.7428571428571429,5.114300000059302,0.2913000002990884,0.19950000023527537
52,0.7571428571428571,3.9517000000159896,0.4724000000351225,0.1861000000644708
53,0.7714285714285714,4.110600000331033,0.2886999996007944,0.1837999998315354
54,0.7857142857142857,3.3453999999437656,0.21590000005744514,0.1704999999674328
55,0.7999999999999999,3.505700000005163,0.21049999986644252,0.15389999998660642
56,0.8142857142857143,3.0065999999351334,0.21590000005744514,0.15419999999721767
57,0.8285714285714285,3.93770000027871,0.22230000013223616,0.15010000015536207
58,0.8428571428571429,2.953199999865319,0.22009999975125538,0.14520000013362733
59,0.8571428571428571,7.366399999682471,0.1799000001483364,0.19390000034036348
60,0.8714285714285714,10.472899999967922,0.5068000000392203,0.2171999999518448
61,0.8857142857142857,8.94349999998667,0.2845000003617315,0.20630000017263228
62,0.9,4.891400000360591,0.2583000000413449,0.19429999974818202
63,0.9142857142857143,4.384400000162714,0.23670000018682913,0.1833999999689695
64,0.9285714285714285,3.3282999997936713,0.24740000026213238,0.146500000028027
65,0.9428571428571428,3.886200000124518,0.2231000003121153,0.18430000000080327
66,0.9571428571428571,2.990699999827484,0.23580000015499536,0.14879999980621506
67,0.9714285714285714,9.156399999938003,0.37610000026688795,0.2096000002893561
68,0.9857142857142857,3.768800000216288,0.2546000000620552,0.1882000001387496
69,1.0,2.815499999996973,0.21389999983512098,0.14220000002751476
70,1.0142857142857142,3.83910000027754,0.1811999995879887,0.16789999972388614
71,1.0285714285714285,4.146299999774783,0.2324000001863169,0.14390000023922767
