Hit,"Position (x, y) in cm",Timestamp (s)
1,"(102.68, 108.37)","(3.557142857142857, 5)"
1,"(78.29, 4.48)","(8.985714285714286, 5)"
1,"(98.58, 108.32)","(10.785714285714285, 5)"
1,"(102.04, 103.06)","(13.985714285714286, 5)"
1,"(103.71, 108.25)","(15.9, 5)"
1,"(94.78, 104.66)","(17.2, 5)"
1,"(99.89, 109.44)","(18.428571428571427, 5)"
1,"(80.33, 4.54)","(20.57142857142857, 5)"
1,"(101.84, 109.41)","(23.97142857142857, 5)"
1,"(102.09, 109.02)","(28.514285714285712, 5)"
1,"(78.05, 4.5)","(30.54285714285714, 5)"
1,"(93.2, 110.46)","(32.1, 5)"
1,"(99.56, 107.81)","(33.34285714285714, 5)"
1,"(77.74, 4.33)","(34.48571428571429, 5)"
1,"(104.74, 108.48)","(35.65714285714286, 5)"
1,"(104.57, 104.05)","(38.12857142857143, 5)"
1,"(90.76, 61.29)","(38.4, 5)"
1,"(78.7, 4.63)","(38.5, 5)"
